Tipo,CDA,Product SKU SAP,SKU,Tipo Documento Factu,Numero de Serie,Correl. Serie,Marca,Cantidad C.U,Cantidad C.F,Ingresos en Soles,Fee 1,Importe Total Factura,Ventas Brutas
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,147906,INCA KOLA,302.389,372.583,3941.87,417.67,5108.07,4328.872881
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,147907,INCA KOLA,21.507,26.5,280.32,29.71,363.25,307.8389831
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,147908,INCA KOLA,24.348,30,302.96,33.63,390.02,330.5254237
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,147909,INCA KOLA,20.29,25,252.46,28.03,324.97,275.3983051
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,147911,INCA KOLA,6.899,8.5,98.53,9.53,129.22,109.5084746
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,148385,INCA KOLA,308.712,380.375,4024.3,426.4,5214.89,4419.398305
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,148386,INCA KOLA,18.667,23,243.28,25.78,315.24,267.1525424
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,148387,INCA KOLA,6.493,8,80.79,8.97,104.01,88.1440678
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,148388,INCA KOLA,16.232,20,201.99,22.42,260.02,220.3559322
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,148389,INCA KOLA,8.116,10,100.97,11.21,129.98,110.1525424
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,148390,INCA KOLA,3.246,4,46.34,4.48,60.77,51.5
Ventas,INV MARTINEZ CHIHUANTITO SRL,250029,INCA KOLA VR 192MLX24,FACTURA,775,148391,INCA KOLA,0.812,1,11.58,1.12,15.19,12.87288136
